Voivodeship,MNO,systems,bts_num
"Greater Poland",Orange,"3G/UMTS LTE ",7
"Greater Poland",Orange,"GSM ",3
"Greater Poland",Orange,"GSM 3G/UMTS ",10
"Greater Poland",Orange,"GSM 3G/UMTS LTE ",1027
"Greater Poland",Orange,"GSM LTE ",36
"Greater Poland",Orange,"LTE ",52
"Greater Poland",Play,"3G/UMTS ",3
"Greater Poland",Play,"3G/UMTS LTE ",78
"Greater Poland",Play,"GSM 3G/UMTS ",3
"Greater Poland",Play,"GSM 3G/UMTS LTE ",591
"Greater Poland",Play,"GSM LTE ",5
"Greater Poland",Play,"LTE ",81
"Greater Poland",Plus,"3G/UMTS LTE ",57
"Greater Poland",Plus,"GSM ",1
"Greater Poland",Plus,"GSM 3G/UMTS ",7
"Greater Poland",Plus,"GSM 3G/UMTS LTE ",644
"Greater Poland",Plus,"GSM LTE ",1
"Greater Poland",T-Mobile,"3G/UMTS LTE ",3
"Greater Poland",T-Mobile,"GSM ",2
"Greater Poland",T-Mobile,"GSM 3G/UMTS ",13
"Greater Poland",T-Mobile,"GSM 3G/UMTS LTE ",1097
"Greater Poland",T-Mobile,"GSM LTE ",2
"Greater Poland",T-Mobile,"LTE ",12
Kuyavian-Pomeranian,Orange,"3G/UMTS ",1
Kuyavian-Pomeranian,Orange,"3G/UMTS LTE ",2
Kuyavian-Pomeranian,Orange,"GSM 3G/UMTS ",1
Kuyavian-Pomeranian,Orange,"GSM 3G/UMTS LTE ",550
Kuyavian-Pomeranian,Orange,"GSM LTE ",2
Kuyavian-Pomeranian,Orange,"LTE ",8
Kuyavian-Pomeranian,Orange&T-Mobile,"LTE ",1
Kuyavian-Pomeranian,Play,"3G/UMTS LTE ",8
Kuyavian-Pomeranian,Play,"GSM 3G/UMTS ",1
Kuyavian-Pomeranian,Play,"GSM 3G/UMTS LTE ",364
Kuyavian-Pomeranian,Play,"LTE ",103
Kuyavian-Pomeranian,Plus,"3G/UMTS LTE ",47
Kuyavian-Pomeranian,Plus,"GSM ",1
Kuyavian-Pomeranian,Plus,"GSM 3G/UMTS ",1
Kuyavian-Pomeranian,Plus,"GSM 3G/UMTS LTE ",405
Kuyavian-Pomeranian,Plus,"LTE ",1
Kuyavian-Pomeranian,T-Mobile,"3G/UMTS LTE ",2
Kuyavian-Pomeranian,T-Mobile,"GSM 3G/UMTS ",1
Kuyavian-Pomeranian,T-Mobile,"GSM 3G/UMTS LTE ",550
Kuyavian-Pomeranian,T-Mobile,"GSM LTE ",1
Kuyavian-Pomeranian,T-Mobile,"LTE ",4
"Lesser Poland",Orange,"3G/UMTS ",4
"Lesser Poland",Orange,"3G/UMTS LTE ",14
"Lesser Poland",Orange,"GSM ",15
"Lesser Poland",Orange,"GSM 3G/UMTS ",33
"Lesser Poland",Orange,"GSM 3G/UMTS LTE ",734
"Lesser Poland",Orange,"GSM LTE ",15
"Lesser Poland",Orange,"LTE ",23
"Lesser Poland",Orange&T-Mobile,"LTE ",2
"Lesser Poland",Play,"3G/UMTS ",2
"Lesser Poland",Play,"3G/UMTS LTE ",12
"Lesser Poland",Play,"GSM 3G/UMTS ",7
"Lesser Poland",Play,"GSM 3G/UMTS LTE ",622
"Lesser Poland",Play,"GSM LTE ",3
"Lesser Poland",Play,"LTE ",53
"Lesser Poland",Plus,"3G/UMTS LTE ",51
"Lesser Poland",Plus,"GSM ",6
"Lesser Poland",Plus,"GSM 3G/UMTS ",9
"Lesser Poland",Plus,"GSM 3G/UMTS LTE ",445
"Lesser Poland",Plus,"GSM LTE ",1
"Lesser Poland",Plus,"LTE ",1
"Lesser Poland",T-Mobile,"3G/UMTS ",1
"Lesser Poland",T-Mobile,"3G/UMTS LTE ",1
"Lesser Poland",T-Mobile,"GSM ",13
"Lesser Poland",T-Mobile,"GSM 3G/UMTS ",13
"Lesser Poland",T-Mobile,"GSM 3G/UMTS LTE ",440
"Lesser Poland",T-Mobile,"GSM LTE ",7
"Lesser Poland",T-Mobile,"LTE ",4
Łódź,Orange,"3G/UMTS LTE ",3
Łódź,Orange,"GSM ",1
Łódź,Orange,"GSM 3G/UMTS ",3
Łódź,Orange,"GSM 3G/UMTS LTE ",632
Łódź,Orange,"GSM LTE ",9
Łódź,Orange,"LTE ",24
Łódź,Orange&T-Mobile,"LTE ",1
Łódź,Play,"3G/UMTS LTE ",14
Łódź,Play,"GSM 3G/UMTS LTE ",480
Łódź,Play,"GSM LTE ",7
Łódź,Play,"LTE ",107
Łódź,Plus,"3G/UMTS LTE ",45
Łódź,Plus,"GSM 3G/UMTS ",2
Łódź,Plus,"GSM 3G/UMTS LTE ",418
Łódź,Plus,"GSM LTE ",1
Łódź,Plus,"LTE ",1
Łódź,T-Mobile,"3G/UMTS ",1
Łódź,T-Mobile,"3G/UMTS LTE ",1
Łódź,T-Mobile,"GSM ",1
Łódź,T-Mobile,"GSM 3G/UMTS ",4
Łódź,T-Mobile,"GSM 3G/UMTS LTE ",643
Łódź,T-Mobile,"GSM LTE ",3
Łódź,T-Mobile,"LTE ",8
"Lower Silesian",Orange,"GSM ",3
"Lower Silesian",Orange,"GSM 3G/UMTS ",4
"Lower Silesian",Orange,"GSM 3G/UMTS LTE ",663
"Lower Silesian",Orange,"GSM LTE ",129
"Lower Silesian",Orange,"LTE ",109
"Lower Silesian",Orange&T-Mobile,"LTE ",1
"Lower Silesian",Play,"3G/UMTS ",2
"Lower Silesian",Play,"3G/UMTS LTE ",53
"Lower Silesian",Play,"GSM 3G/UMTS ",2
"Lower Silesian",Play,"GSM 3G/UMTS LTE ",535
"Lower Silesian",Play,"GSM LTE ",1
"Lower Silesian",Play,"LTE ",104
"Lower Silesian",Plus,"3G/UMTS ",2
"Lower Silesian",Plus,"3G/UMTS LTE ",69
"Lower Silesian",Plus,"GSM ",1
"Lower Silesian",Plus,"GSM 3G/UMTS ",3
"Lower Silesian",Plus,"GSM 3G/UMTS LTE ",593
"Lower Silesian",Plus,"LTE ",1
"Lower Silesian",T-Mobile,"3G/UMTS LTE ",5
"Lower Silesian",T-Mobile,"GSM ",2
"Lower Silesian",T-Mobile,"GSM 3G/UMTS ",5
"Lower Silesian",T-Mobile,"GSM 3G/UMTS LTE ",875
"Lower Silesian",T-Mobile,"GSM LTE ",6
"Lower Silesian",T-Mobile,"LTE ",13
Lublin,Orange,"3G/UMTS LTE ",7
Lublin,Orange,"GSM ",2
Lublin,Orange,"GSM 3G/UMTS ",5
Lublin,Orange,"GSM 3G/UMTS LTE ",482
Lublin,Orange,"GSM LTE ",8
Lublin,Orange,"LTE ",31
Lublin,Play,"3G/UMTS LTE ",34
Lublin,Play,"GSM 3G/UMTS LTE ",216
Lublin,Play,"GSM LTE ",3
Lublin,Play,"LTE ",193
Lublin,Plus,"3G/UMTS LTE ",10
Lublin,Plus,"GSM ",2
Lublin,Plus,"GSM 3G/UMTS ",17
Lublin,Plus,"GSM 3G/UMTS LTE ",367
Lublin,Plus,"GSM LTE ",1
Lublin,Plus,"LTE ",5
Lublin,T-Mobile,"3G/UMTS ",1
Lublin,T-Mobile,"3G/UMTS LTE ",2
Lublin,T-Mobile,"GSM ",1
Lublin,T-Mobile,"GSM 3G/UMTS ",5
Lublin,T-Mobile,"GSM 3G/UMTS LTE ",500
Lublin,T-Mobile,"GSM LTE ",3
Lublin,T-Mobile,"LTE ",13
Lubusz,Orange,"3G/UMTS LTE ",6
Lubusz,Orange,"GSM ",6
Lubusz,Orange,"GSM 3G/UMTS ",2
Lubusz,Orange,"GSM 3G/UMTS LTE ",205
Lubusz,Orange,"GSM LTE ",60
Lubusz,Orange,"LTE ",48
Lubusz,Orange&T-Mobile,"3G/UMTS ",1
Lubusz,Orange&T-Mobile,"LTE ",18
Lubusz,Play,"3G/UMTS ",3
Lubusz,Play,"3G/UMTS LTE ",69
Lubusz,Play,"GSM 3G/UMTS ",1
Lubusz,Play,"GSM 3G/UMTS LTE ",116
Lubusz,Play,"GSM LTE ",2
Lubusz,Play,"LTE ",93
Lubusz,Plus,"3G/UMTS LTE ",9
Lubusz,Plus,"GSM ",2
Lubusz,Plus,"GSM 3G/UMTS LTE ",250
Lubusz,Plus,"GSM LTE ",3
Lubusz,Plus,"LTE ",1
Lubusz,T-Mobile,"3G/UMTS LTE ",3
Lubusz,T-Mobile,"GSM ",1
Lubusz,T-Mobile,"GSM 3G/UMTS ",5
Lubusz,T-Mobile,"GSM 3G/UMTS LTE ",250
Lubusz,T-Mobile,"GSM LTE ",37
Lubusz,T-Mobile,"LTE ",13
Masovian,Orange,"3G/UMTS ",1
Masovian,Orange,"3G/UMTS LTE ",14
Masovian,Orange,"GSM ",4
Masovian,Orange,"GSM 3G/UMTS ",7
Masovian,Orange,"GSM 3G/UMTS LTE ",1951
Masovian,Orange,"GSM LTE ",25
Masovian,Orange,"LTE ",55
Masovian,Play,"3G/UMTS ",3
Masovian,Play,"3G/UMTS LTE ",34
Masovian,Play,"GSM 3G/UMTS LTE ",1347
Masovian,Play,"GSM LTE ",17
Masovian,Play,"LTE ",140
Masovian,Plus,"3G/UMTS ",11
Masovian,Plus,"3G/UMTS LTE ",157
Masovian,Plus,"GSM ",1
Masovian,Plus,"GSM 3G/UMTS ",29
Masovian,Plus,"GSM 3G/UMTS LTE ",1060
Masovian,Plus,"GSM LTE ",5
Masovian,Plus,"LTE ",7
Masovian,T-Mobile,"3G/UMTS LTE ",14
Masovian,T-Mobile,"GSM ",1
Masovian,T-Mobile,"GSM 3G/UMTS ",7
Masovian,T-Mobile,"GSM 3G/UMTS LTE ",1998
Masovian,T-Mobile,"GSM LTE ",2
Masovian,T-Mobile,"LTE ",18
Opole,Orange,"3G/UMTS ",1
Opole,Orange,"GSM ",4
Opole,Orange,"GSM 3G/UMTS ",9
Opole,Orange,"GSM 3G/UMTS LTE ",9
Opole,Orange,"GSM LTE ",3
Opole,Orange,"LTE ",4
Opole,Orange&T-Mobile,"3G/UMTS ",116
Opole,Orange&T-Mobile,"3G/UMTS LTE ",101
Opole,Orange&T-Mobile,"LTE ",5
Opole,Play,"GSM 3G/UMTS LTE ",198
Opole,Play,"LTE ",1
Opole,Plus,"3G/UMTS LTE ",13
Opole,Plus,"GSM 3G/UMTS ",3
Opole,Plus,"GSM 3G/UMTS LTE ",178
Opole,T-Mobile,"GSM ",1
Opole,T-Mobile,"GSM 3G/UMTS ",38
Opole,T-Mobile,"GSM 3G/UMTS LTE ",40
Opole,T-Mobile,"GSM LTE ",20
Podlaskie,Orange,"3G/UMTS LTE ",1
Podlaskie,Orange,"GSM 3G/UMTS ",2
Podlaskie,Orange,"GSM 3G/UMTS LTE ",321
Podlaskie,Orange,"GSM LTE ",5
Podlaskie,Orange,"LTE ",22
Podlaskie,Play,"3G/UMTS LTE ",20
Podlaskie,Play,"GSM 3G/UMTS LTE ",231
Podlaskie,Play,"GSM LTE ",1
Podlaskie,Play,"LTE ",23
Podlaskie,Plus,"3G/UMTS LTE ",13
Podlaskie,Plus,"GSM ",1
Podlaskie,Plus,"GSM 3G/UMTS ",2
Podlaskie,Plus,"GSM 3G/UMTS LTE ",241
Podlaskie,T-Mobile,"3G/UMTS LTE ",1
Podlaskie,T-Mobile,"GSM ",1
Podlaskie,T-Mobile,"GSM 3G/UMTS ",47
Podlaskie,T-Mobile,"GSM 3G/UMTS LTE ",292
Podlaskie,T-Mobile,"GSM LTE ",2
Podlaskie,T-Mobile,"LTE ",2
Pomeranian,Orange,"3G/UMTS LTE ",2
Pomeranian,Orange,"GSM ",2
Pomeranian,Orange,"GSM 3G/UMTS ",10
Pomeranian,Orange,"GSM 3G/UMTS LTE ",794
Pomeranian,Orange,"GSM LTE ",4
Pomeranian,Orange,"LTE ",1
Pomeranian,Orange&T-Mobile,"LTE ",2
Pomeranian,Play,"3G/UMTS LTE ",13
Pomeranian,Play,"GSM 3G/UMTS ",1
Pomeranian,Play,"GSM 3G/UMTS LTE ",498
Pomeranian,Play,"GSM LTE ",3
Pomeranian,Play,"LTE ",106
Pomeranian,Plus,"3G/UMTS LTE ",48
Pomeranian,Plus,"GSM ",3
Pomeranian,Plus,"GSM 3G/UMTS ",7
Pomeranian,Plus,"GSM 3G/UMTS LTE ",521
Pomeranian,Plus,"GSM LTE ",2
Pomeranian,Plus,"LTE ",3
Pomeranian,T-Mobile,"3G/UMTS ",1
Pomeranian,T-Mobile,"3G/UMTS LTE ",2
Pomeranian,T-Mobile,"GSM 3G/UMTS ",9
Pomeranian,T-Mobile,"GSM 3G/UMTS LTE ",787
Pomeranian,T-Mobile,"GSM LTE ",4
Pomeranian,T-Mobile,"LTE ",2
Silesian,Orange,"3G/UMTS ",1
Silesian,Orange,"GSM ",7
Silesian,Orange,"GSM 3G/UMTS ",20
Silesian,Orange,"GSM 3G/UMTS LTE ",148
Silesian,Orange,"GSM LTE ",4
Silesian,Orange,"LTE ",9
Silesian,Orange&T-Mobile,"3G/UMTS ",308
Silesian,Orange&T-Mobile,"3G/UMTS LTE ",511
Silesian,Orange&T-Mobile,"LTE ",158
Silesian,Play,"3G/UMTS ",4
Silesian,Play,"3G/UMTS LTE ",4
Silesian,Play,"GSM 3G/UMTS ",3
Silesian,Play,"GSM 3G/UMTS LTE ",1029
Silesian,Play,"LTE ",5
Silesian,Plus,"3G/UMTS ",3
Silesian,Plus,"3G/UMTS LTE ",99
Silesian,Plus,"GSM ",3
Silesian,Plus,"GSM 3G/UMTS ",15
Silesian,Plus,"GSM 3G/UMTS LTE ",673
Silesian,Plus,"LTE ",3
Silesian,T-Mobile,"3G/UMTS ",4
Silesian,T-Mobile,"GSM ",13
Silesian,T-Mobile,"GSM 3G/UMTS ",259
Silesian,T-Mobile,"GSM 3G/UMTS LTE ",257
Silesian,T-Mobile,"GSM LTE ",25
Silesian,T-Mobile,"LTE ",4
Subcarpathian,Orange,"3G/UMTS ",1
Subcarpathian,Orange,"3G/UMTS LTE ",13
Subcarpathian,Orange,"GSM ",4
Subcarpathian,Orange,"GSM 3G/UMTS ",9
Subcarpathian,Orange,"GSM 3G/UMTS LTE ",199
Subcarpathian,Orange,"GSM LTE ",23
Subcarpathian,Orange,"LTE ",40
Subcarpathian,Orange&T-Mobile,"3G/UMTS ",74
Subcarpathian,Orange&T-Mobile,"3G/UMTS LTE ",10
Subcarpathian,Orange&T-Mobile,"LTE ",43
Subcarpathian,Play,"3G/UMTS LTE ",71
Subcarpathian,Play,"GSM 3G/UMTS ",1
Subcarpathian,Play,"GSM 3G/UMTS LTE ",173
Subcarpathian,Play,"GSM LTE ",4
Subcarpathian,Play,"LTE ",119
Subcarpathian,Plus,"3G/UMTS ",2
Subcarpathian,Plus,"3G/UMTS LTE ",59
Subcarpathian,Plus,"GSM ",9
Subcarpathian,Plus,"GSM 3G/UMTS ",12
Subcarpathian,Plus,"GSM 3G/UMTS LTE ",260
Subcarpathian,Plus,"GSM LTE ",6
Subcarpathian,Plus,"LTE ",8
Subcarpathian,T-Mobile,"3G/UMTS LTE ",1
Subcarpathian,T-Mobile,"GSM ",9
Subcarpathian,T-Mobile,"GSM 3G/UMTS ",23
Subcarpathian,T-Mobile,"GSM 3G/UMTS LTE ",127
Subcarpathian,T-Mobile,"GSM LTE ",26
Subcarpathian,T-Mobile,"LTE ",4
Świętkorzyskie,Orange,"GSM ",1
Świętkorzyskie,Orange,"GSM 3G/UMTS ",1
Świętkorzyskie,Orange,"GSM 3G/UMTS LTE ",274
Świętkorzyskie,Orange,"GSM LTE ",2
Świętkorzyskie,Orange,"LTE ",13
Świętkorzyskie,Orange&T-Mobile,"LTE ",1
Świętkorzyskie,Play,"3G/UMTS LTE ",9
Świętkorzyskie,Play,"GSM 3G/UMTS ",1
Świętkorzyskie,Play,"GSM 3G/UMTS LTE ",169
Świętkorzyskie,Play,"GSM LTE ",6
Świętkorzyskie,Play,"LTE ",51
Świętkorzyskie,Plus,"3G/UMTS ",2
Świętkorzyskie,Plus,"3G/UMTS LTE ",26
Świętkorzyskie,Plus,"GSM 3G/UMTS ",4
Świętkorzyskie,Plus,"GSM 3G/UMTS LTE ",186
Świętkorzyskie,Plus,"GSM LTE ",1
Świętkorzyskie,Plus,"LTE ",1
Świętkorzyskie,T-Mobile,"GSM ",1
Świętkorzyskie,T-Mobile,"GSM 3G/UMTS ",1
Świętkorzyskie,T-Mobile,"GSM 3G/UMTS LTE ",279
Świętkorzyskie,T-Mobile,"GSM LTE ",3
Świętkorzyskie,T-Mobile,"LTE ",6
Warmian-Masurian,Orange,"3G/UMTS LTE ",1
Warmian-Masurian,Orange,"GSM ",4
Warmian-Masurian,Orange,"GSM 3G/UMTS ",20
Warmian-Masurian,Orange,"GSM 3G/UMTS LTE ",529
Warmian-Masurian,Orange,"GSM LTE ",4
Warmian-Masurian,Orange,"LTE ",2
Warmian-Masurian,Play,"3G/UMTS ",1
Warmian-Masurian,Play,"3G/UMTS LTE ",10
Warmian-Masurian,Play,"GSM ",1
Warmian-Masurian,Play,"GSM 3G/UMTS LTE ",290
Warmian-Masurian,Play,"GSM LTE ",3
Warmian-Masurian,Play,"LTE ",151
Warmian-Masurian,Plus,"3G/UMTS LTE ",25
Warmian-Masurian,Plus,"GSM ",2
Warmian-Masurian,Plus,"GSM 3G/UMTS ",1
Warmian-Masurian,Plus,"GSM 3G/UMTS LTE ",313
Warmian-Masurian,T-Mobile,"3G/UMTS LTE ",1
Warmian-Masurian,T-Mobile,"GSM ",1
Warmian-Masurian,T-Mobile,"GSM 3G/UMTS ",24
Warmian-Masurian,T-Mobile,"GSM 3G/UMTS LTE ",525
Warmian-Masurian,T-Mobile,"GSM LTE ",4
Warmian-Masurian,T-Mobile,"LTE ",1
"West Pomeranian",Orange,"3G/UMTS LTE ",1
"West Pomeranian",Orange,"GSM ",4
"West Pomeranian",Orange,"GSM 3G/UMTS ",4
"West Pomeranian",Orange,"GSM 3G/UMTS LTE ",547
"West Pomeranian",Orange,"GSM LTE ",86
"West Pomeranian",Orange,"LTE ",50
"West Pomeranian",Play,"3G/UMTS ",1
"West Pomeranian",Play,"3G/UMTS LTE ",44
"West Pomeranian",Play,"GSM ",1
"West Pomeranian",Play,"GSM 3G/UMTS LTE ",308
"West Pomeranian",Play,"GSM LTE ",4
"West Pomeranian",Play,"LTE ",205
"West Pomeranian",Plus,"3G/UMTS ",2
"West Pomeranian",Plus,"3G/UMTS LTE ",36
"West Pomeranian",Plus,"GSM 3G/UMTS ",1
"West Pomeranian",Plus,"GSM 3G/UMTS LTE ",460
"West Pomeranian",Plus,"LTE ",3
"West Pomeranian",T-Mobile,"GSM ",2
"West Pomeranian",T-Mobile,"GSM 3G/UMTS ",6
"West Pomeranian",T-Mobile,"GSM 3G/UMTS LTE ",678
"West Pomeranian",T-Mobile,"GSM LTE ",1
"West Pomeranian",T-Mobile,"LTE ",6
